CASE;QUESTNNR;MODE;SD01;SD02;SD03_01;SD06;SD07;SD08;SD09;CM01;CM02;CM03;CM04;CM05;CM06;CM07;CM08;CM09;CM10;CM11;CM12;CM13;CM14;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME_SUM;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME;type
448;TCM-Survey;interview;1;2;53;7;1;9;2;1;2;1;1;1;6;1;;1;2;1;2;2;1;;;80;94;25;16;39;254;1;0;5;5;12;4;0,84;2;1
449;sociodemographics;interview;;2;21;4;1;3;;;;;;;;;;;;;;;;;;27;17;10;;;0;1;0;3;3;0;0;;100;1
450;TCM-Survey;interview;1;2;38;7;1;6;1;1;2;1;7;1;2;1;;2;2;3;3;2;1;;;53;30;34;11;63;191;1;0;5;5;12;4;1,09;12;1
452;TCM-Survey;interview;1;1;56;4;1;5;2;1;1;7;2;1;5;9;;1;1;5;5;2;1;;;588;95;19;76;531;279;1;0;5;5;8;1;0,43;3;1
453;TCM-Survey;interview;1;2;34;8;1;9;2;1;2;1;4;1;2;1;;1;1;1;1;2;1;;;38;38;21;25;26;148;1;0;5;5;12;5;1,17;11;1
454;TCM-Survey;interview;1;1;21;4;6;4;1;1;1;2;2;3;2;1;;1;2;4;4;1;2;;;82;46;31;17;47;223;1;0;5;5;8;1;0,85;1;1
458;TCM-Survey;interview;1;1;40;7;1;5;2;1;1;3;1;1;4;3;;1;1;1;3;1;2;;;133;61;58;20;27;299;1;0;5;5;8;1;0,76;3;1
459;TCM-Survey;interview;1;2;21;4;1;3;1;1;2;1;7;7;8;1;;2;2;2;3;2;1;;;75;126;18;27;27;273;1;0;5;5;8;3;0,89;7;1
460;TCM-Survey;interview;2;2;15;1;6;1;2;2;2;1;6;6;2;1;;2;2;1;1;2;1;;;319;45;21;14;22;421;1;0;5;5;4;1;1,06;11;1
461;TCM-Survey;interview;1;2;62;2;3;6;1;2;2;1;7;2;5;1;;2;2;1;1;2;1;;;868;49;21;24;47;194;1;0;5;5;4;1;0,73;1;1
462;TCM-Survey;interview;1;2;55;7;1;11;1;1;1;2;3;1;5;3;;2;2;1;5;1;2;;;40;73;19;27;38;197;1;0;5;5;8;1;0,97;6;1
463;TCM-Survey;interview;1;1;43;8;1;12;1;1;1;3;1;1;7;7;;1;2;4;4;1;5;;;38;39;23;13;22;135;1;0;5;5;8;1;1,33;17;1
464;TCM-Survey;interview;1;1;43;7;1;11;2;1;1;1;2;1;7;1;;1;1;1;2;2;1;;;43;41;17;14;43;158;1;0;5;5;8;1;1,18;11;1
466;TCM-Survey;interview;1;1;22;7;2;4;2;2;3;6;6;6;3;1;;4;2;3;5;2;1;;;73;64;23;13;36;209;1;0;5;5;8;1;0,98;5;1
467;TCM-Survey;interview;1;1;38;7;1;9;2;1;2;1;2;1;7;1;;2;1;1;1;2;1;;;57;49;22;14;31;173;1;0;5;5;8;1;1,09;6;1
468;TCM-Survey;interview;1;2;52;4;1;6;2;1;1;2;3;1;6;3;;1;1;1;3;1;1;;;45;71;34;12;23;185;1;0;5;5;8;1;1,13;13;1
469;TCM-Survey;interview;1;2;35;8;2;5;2;2;3;6;6;6;2;8;;2;2;1;5;2;1;;;68;30;30;45;34;207;1;0;5;5;8;3;0,91;5;1
470;TCM-Survey;interview;1;2;21;4;6;1;2;1;1;5;2;2;6;5;;1;2;1;3;1;5;;;28;68;20;11;15;142;1;0;5;5;8;1;1,57;32;1
472;TCM-Survey;interview;1;1;38;3;1;7;1;1;1;1;2;2;3;1;;2;2;1;1;1;2;;;41;32;15;14;22;124;1;0;5;5;12;4;1,45;23;1
473;TCM-Survey;interview;1;1;62;2;3;4;1;1;1;2;1;1;5;2;;2;2;4;5;1;2;;;88;115;42;38;64;347;1;0;5;5;8;1;0,52;0;1
474;TCM-Survey;interview;1;1;54;6;1;6;1;2;3;6;2;1;4;1;;1;2;1;1;2;1;;;67;48;20;27;70;232;1;0;5;5;8;1;0,83;2;1
475;TCM-Survey;interview;1;2;40;4;1;12;2;1;2;1;1;5;1;1;;1;2;1;1;2;1;;;101;30;25;12;24;192;1;0;5;5;12;4;1,21;16;1
478;TCM-Survey;interview;1;2;36;7;1;11;2;1;1;2;2;3;4;1;;2;2;1;1;2;1;;;32;31;18;12;20;113;1;0;5;5;12;4;1,56;28;1
479;TCM-Survey;interview;1;2;38;7;1;12;2;1;2;1;1;1;2;1;;2;2;1;1;2;1;;;32;22;18;13;41;126;1;0;5;5;12;5;1,47;25;1
480;TCM-Survey;interview;1;2;21;4;6;3;2;1;2;1;1;1;1;1;;1;2;1;1;2;1;;;351;27;14;28;16;138;1;0;5;5;8;3;1,28;26;1
481;TCM-Survey;interview;1;2;60;6;1;12;2;1;2;1;4;5;2;1;;2;2;1;3;2;1;;;106;96;41;31;33;307;1;0;5;5;8;1;0,65;1;1
482;TCM-Survey;interview;1;1;35;5;1;7;1;1;1;4;2;1;7;4;;1;1;1;4;1;1;;;468;92;40;26;34;245;1;0;5;5;4;1;0,6;1;1
483;TCM-Survey;interview;1;2;20;3;1;5;2;1;2;1;3;2;7;1;;2;2;1;1;2;1;;;49;32;18;15;27;141;1;0;5;5;4;1;1,28;14;1
484;TCM-Survey;interview;1;2;61;3;3;7;2;1;2;1;3;1;7;1;;1;1;1;1;2;1;;;32;32;18;17;31;130;1;0;5;5;4;1;1,33;16;1
486;TCM-Survey;interview;1;2;34;4;1;11;2;2;2;6;6;6;7;1;;1;2;1;4;2;1;;;40;61;28;17;53;199;1;0;5;5;8;1;0,94;4;1
487;TCM-Survey;interview;1;1;53;2;4;1;2;1;2;1;7;5;7;1;;2;1;1;1;2;1;;;53;69;20;22;40;204;1;0;5;5;12;4;0,92;2;1
488;TCM-Survey;interview;1;1;42;7;1;12;2;1;1;1;2;1;5;1;;1;1;-9;-9;1;2;;;51;36;27;16;28;158;1;0;5;5;16;10;1,12;7;1
489;TCM-Survey;interview;1;1;37;6;1;5;2;1;2;1;3;2;6;1;;1;1;1;1;1;1;;;27;32;21;19;48;147;1;0;5;5;8;1;1,25;15;1
490;TCM-Survey;interview;1;1;29;4;1;7;2;1;2;1;5;2;4;1;;2;2;1;1;2;1;;;47;28;19;13;43;150;1;0;5;5;12;4;1,25;14;1
492;TCM-Survey;interview;1;1;57;7;3;8;1;1;2;1;1;1;7;1;;2;2;1;3;2;1;;;660;43;31;40;53;220;1;0;5;5;12;4;0,61;0;1
493;TCM-Survey;interview;1;1;36;7;1;6;2;1;1;2;1;1;4;2;;1;1;5;5;2;1;;;109;55;20;18;31;233;1;0;5;5;4;1;0,94;4;1
494;TCM-Survey;interview;1;1;34;7;1;10;2;1;2;1;4;1;5;1;;1;1;1;5;2;1;;;108;46;16;51;45;266;1;0;5;5;8;1;0,82;5;1
495;TCM-Survey;interview;1;2;55;4;1;11;1;1;1;4;7;2;7;7;;1;2;1;1;1;4;;;36;37;19;16;25;133;1;0;5;5;4;1;1,31;16;1
496;TCM-Survey;interview;1;2;53;4;2;4;1;1;2;1;4;1;2;1;;2;2;1;5;2;1;;;139;31;27;18;31;246;1;0;5;5;8;1;0,98;6;1
497;TCM-Survey;interview;1;2;42;8;1;7;2;1;1;1;2;1;7;1;;1;2;1;2;1;1;;;38;46;41;29;39;193;1;0;5;5;8;1;0,9;4;1
498;TCM-Survey;interview;1;2;47;3;1;12;1;1;2;1;1;2;7;1;;1;1;5;5;1;1;;;37;40;23;21;120;241;1;0;5;5;12;5;0,96;6;1
499;TCM-Survey;interview;1;1;48;6;1;6;2;1;1;1;3;1;6;1;;2;2;1;2;1;2;;;41;38;39;13;26;157;1;0;5;5;12;4;1,18;13;1
500;TCM-Survey;interview;1;2;36;7;1;6;2;1;2;1;5;3;4;1;;1;1;1;1;2;1;;;35;30;34;18;30;147;1;0;5;5;8;1;1,19;12;1
503;TCM-Survey;interview;1;2;22;2;1;5;2;1;1;1;2;2;3;1;;1;1;1;1;1;1;;;34;33;18;31;28;144;1;0;5;5;12;4;1,22;15;1
504;TCM-Survey;interview;1;1;22;6;1;2;2;1;2;1;3;2;4;1;;1;1;1;1;2;1;;;55;44;19;39;35;192;1;0;5;5;4;1;0,95;3;1
505;TCM-Survey;interview;1;2;52;3;1;11;2;1;1;1;2;1;7;1;;1;2;3;5;1;1;;;728;40;46;19;46;204;1;0;5;5;8;1;0,7;1;1
506;TCM-Survey;interview;1;2;80;3;3;11;1;1;1;1;1;1;7;1;;1;2;1;1;1;1;;;31;31;15;12;49;138;1;0;5;5;12;4;1,41;23;1
507;TCM-Survey;interview;2;1;22;4;6;1;2;1;2;1;5;4;4;1;;2;2;1;1;2;1;;;28;35;15;30;17;125;1;0;5;5;8;1;1,5;29;1
508;TCM-Survey;interview;1;2;60;4;1;5;2;1;1;1;7;1;7;1;;2;2;1;2;1;1;;;84;35;34;17;32;202;1;0;5;5;12;4;0,97;5;1
509;TCM-Survey;interview;1;2;21;4;6;4;1;1;1;2;2;2;4;4;;1;1;2;3;1;3;;;77;83;43;24;41;268;1;0;5;5;8;1;0,69;0;1
510;TCM-Survey;interview;1;2;16;2;2;2;2;1;2;1;3;3;1;1;;2;2;1;2;2;1;;;33;27;25;13;54;152;1;0;5;5;12;4;1,26;17;1
511;TCM-Survey;interview;1;1;30;6;1;6;2;1;1;1;3;1;6;1;;1;2;1;1;1;1;;;43;50;13;16;22;144;1;0;5;5;12;4;1,36;19;1
512;TCM-Survey;interview;1;1;73;4;3;5;2;1;2;1;7;4;7;1;;2;2;1;2;2;1;;;52;31;24;15;31;153;1;0;5;5;8;1;1,17;9;1
514;TCM-Survey;interview;1;2;25;6;1;5;2;1;2;1;3;3;2;1;;2;2;1;1;2;1;;;62;39;23;17;50;191;1;0;5;5;8;1;0,97;3;1
516;TCM-Survey;interview;1;1;19;4;2;1;2;1;2;1;7;3;2;1;;1;2;1;5;2;1;;;35;30;30;19;19;133;1;0;5;5;8;1;1,34;19;1
517;TCM-Survey;interview;1;2;23;4;6;1;2;2;1;1;1;1;4;2;;2;2;1;2;2;1;;;286;134;48;21;82;571;1;0;5;5;8;1;0,47;0;1
518;TCM-Survey;interview;1;1;68;4;3;12;2;1;1;4;3;1;7;1;;1;1;1;3;1;1;;;63;45;20;13;19;160;1;0;5;5;12;5;1,28;16;1
519;TCM-Survey;interview;1;2;75;7;3;12;2;1;1;5;1;4;7;1;;2;1;1;1;1;2;;;30;42;23;16;28;139;1;0;5;5;12;4;1,27;13;1
520;TCM-Survey;interview;1;1;-;2;1;1;2;2;3;6;6;6;1;1;;2;2;5;5;2;1;;;392;31;17;43;53;197;1;0;5;5;8;1;0,82;8;1
521;TCM-Survey;interview;1;1;29;7;5;6;2;1;2;1;2;1;6;1;;1;1;1;1;1;2;;;114;39;19;17;35;224;1;0;5;5;8;1;1;5;1
522;TCM-Survey;interview;1;1;56;7;1;6;1;1;1;3;2;1;7;7;;1;2;1;5;2;1;;;81;93;17;21;35;247;1;0;5;5;8;1;0,89;4;1
523;TCM-Survey;interview;1;1;26;6;1;6;2;1;1;1;1;1;5;1;;1;2;1;2;1;1;;;34;51;18;16;26;145;1;0;5;5;4;1;1,27;15;1
524;TCM-Survey;interview;1;1;26;4;1;3;2;1;2;1;2;1;4;1;;1;1;2;5;2;1;;;713;35;24;18;28;158;1;0;5;5;4;1;0,93;6;1
525;TCM-Survey;interview;1;1;29;6;1;6;2;1;2;1;2;1;3;1;;1;2;1;2;2;1;;;45;48;24;18;32;167;1;0;5;5;8;1;1,06;4;1
526;TCM-Survey;interview;1;2;28;6;1;6;2;1;2;1;2;1;7;1;;2;2;1;1;2;1;;;21;28;14;16;53;132;1;0;5;5;8;3;1,54;30;1
527;TCM-Survey;interview;1;2;38;7;1;6;2;1;1;1;5;1;7;1;;2;2;1;5;1;1;;;47;46;19;15;27;154;1;0;5;5;12;4;1,19;10;1
528;TCM-Survey;interview;1;1;26;7;1;7;1;1;1;1;1;1;7;7;;1;1;-9;-9;1;4;;;45;65;16;17;41;184;1;0;5;5;20;14;1,07;8;1
530;TCM-Survey;interview;-9;-9;;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;-9;-9;-9;-9;-9;-9;;;14;16;12;15;13;70;1;0;5;5;96;99;2,36;76;1
531;TCM-Survey;interview;1;2;29;7;1;7;1;1;2;1;5;2;4;1;;2;2;1;1;2;1;;;90;35;18;23;35;201;1;0;5;5;8;1;1,01;6;1
533;TCM-Survey;interview;1;2;26;6;6;4;2;2;3;6;6;6;7;1;;1;2;1;5;1;1;;;28;41;21;11;32;133;1;0;5;5;12;4;1,39;20;1
534;TCM-Survey;interview;1;2;26;2;1;5;2;2;2;1;6;6;2;1;;2;2;4;5;2;1;;;43;42;17;32;59;193;1;0;5;5;12;4;0,98;7;1
535;TCM-Survey;interview;1;1;80;7;3;5;2;1;2;1;1;1;6;1;;1;2;1;1;1;1;;;38;45;31;19;103;236;1;0;5;5;8;1;0,9;4;1
536;TCM-Survey;interview;1;1;27;7;1;7;2;1;1;1;4;2;2;1;;2;2;1;1;2;1;;;57;36;31;23;30;177;1;0;5;5;8;1;0,99;4;1
537;TCM-Survey;interview;1;1;14;2;6;1;1;1;2;1;1;1;4;1;;1;2;1;1;1;1;;;2002;31;23;18;35;160;1;0;5;5;12;4;0,91;5;1
538;TCM-Survey;interview;1;2;49;8;1;12;2;1;2;1;7;1;7;1;;2;2;1;1;2;1;;;31;37;17;16;38;139;1;0;5;5;8;3;1,29;15;1
539;TCM-Survey;interview;1;2;40;8;1;12;2;1;2;1;2;2;2;1;;2;2;2;5;1;1;;;60;31;38;15;39;183;1;0;5;5;12;5;1,02;7;1
541;TCM-Survey;interview;1;2;32;3;1;9;2;1;2;1;5;4;1;1;;2;2;1;3;2;1;;;159;26;16;14;21;236;1;0;5;5;12;4;1,32;23;1
542;TCM-Survey;interview;1;2;58;3;1;6;1;2;3;6;6;6;3;1;;2;2;5;5;2;1;;;15;44;42;45;53;199;1;0;5;5;12;4;1,13;25;1
543;TCM-Survey;interview;1;1;25;3;2;1;2;1;2;1;4;2;2;1;;1;2;1;1;2;1;;;84;41;21;27;77;250;1;0;5;5;8;1;0,8;2;1
544;TCM-Survey;interview;1;1;33;4;1;5;2;1;2;1;2;1;2;1;;1;1;5;5;2;1;;;53;29;19;22;29;152;1;0;5;5;8;1;1,18;10;1
545;TCM-Survey;interview;1;1;29;7;1;8;2;1;2;1;3;2;7;1;;1;2;1;1;2;1;;;29;39;16;13;25;122;1;0;5;5;12;4;1,47;24;1
546;TCM-Survey;interview;1;2;38;4;1;6;2;1;1;1;1;1;4;1;;1;1;1;1;1;1;;;34;37;13;18;21;123;1;0;5;5;12;4;1,47;24;1
547;TCM-Survey;interview;1;1;27;6;1;6;2;1;2;1;3;3;3;1;;1;1;1;1;1;3;;;32;29;25;24;32;142;1;0;5;5;8;1;1,21;13;1
548;TCM-Survey;interview;1;1;62;1;3;12;1;1;2;1;3;2;3;1;;2;2;2;4;2;1;;;60;64;27;11;42;204;1;0;5;5;8;1;1,01;7;1
549;TCM-Survey;interview;1;2;22;4;6;1;2;1;2;1;7;7;2;1;;2;2;1;3;2;1;;;524;47;41;14;61;216;1;0;5;5;4;1;0,71;4;1
550;TCM-Survey;interview;1;2;23;2;1;3;2;1;2;1;2;1;2;1;;2;2;1;2;2;1;;;86;51;16;14;33;200;1;0;5;5;12;4;1,09;9;1
553;TCM-Survey;interview;1;1;41;7;1;12;1;1;1;2;2;1;7;4;;1;1;1;2;1;1;;;50;45;28;13;28;164;1;0;5;5;8;1;1,13;8;1
554;TCM-Survey;interview;1;1;34;7;1;7;2;1;2;1;2;2;7;1;;1;1;1;1;1;2;;;50;37;28;31;41;187;1;0;5;5;8;1;0,92;2;1
555;TCM-Survey;interview;1;1;39;6;5;7;2;1;1;2;4;3;7;4;;1;1;1;1;1;2;;;64;58;23;34;42;221;1;0;5;5;8;1;0,81;0;1
556;TCM-Survey;interview;1;2;19;4;1;3;2;1;2;1;2;3;3;1;;2;2;1;1;2;1;;;36;28;11;10;41;126;1;0;5;5;15;7;1,6;31;1
557;TCM-Survey;interview;1;1;32;7;1;4;1;1;2;1;5;1;7;1;;2;2;2;5;2;1;;;62;42;39;25;35;203;1;0;5;5;8;1;0,86;1;1
558;TCM-Survey;interview;1;2;42;8;1;11;2;1;2;1;2;2;7;1;;2;1;1;3;1;1;;;42;31;31;23;45;172;1;0;5;5;8;1;1,02;7;1
559;TCM-Survey;interview;1;1;18;2;2;1;2;2;3;6;6;6;2;1;;2;2;1;1;2;1;;;653;18;14;21;25;131;1;0;5;5;4;1;1,32;26;1
560;TCM-Survey;interview;1;1;83;2;3;12;1;1;1;2;2;1;6;2;;2;2;1;1;1;1;;;35;35;34;20;89;213;1;0;5;5;12;5;0,97;8;1
561;TCM-Survey;interview;1;1;42;7;1;10;2;1;1;1;2;2;5;1;;1;1;1;1;1;1;;;34;68;18;14;30;164;1;0;5;5;8;1;1,22;14;1
563;TCM-Survey;interview;1;1;55;3;1;4;2;1;2;1;3;3;4;1;;2;2;1;3;2;1;;;41;41;24;19;38;163;1;0;5;5;8;1;1,06;4;1
565;TCM-Survey;interview;1;1;20;3;1;5;2;1;1;2;2;2;2;2;;1;2;1;3;1;2;;;63;97;30;15;32;237;1;0;5;5;8;1;0,9;4;1
566;TCM-Survey;interview;1;1;25;5;1;5;1;1;1;2;1;1;6;4;;1;1;2;2;2;1;;;213;73;111;68;75;540;1;0;5;5;8;1;0,37;0;1
567;TCM-Survey;interview;1;1;25;2;1;6;2;1;2;1;1;1;3;1;;1;2;2;1;1;2;;;34;41;34;16;35;160;1;0;5;5;8;1;1,11;8;1
568;TCM-Survey;interview;1;2;25;3;2;1;1;2;3;6;6;6;5;8;;2;2;5;5;2;1;;;45;44;26;20;30;165;1;0;5;5;4;0;1,05;4;1
569;TCM-Survey;interview;1;1;31;8;1;8;2;1;1;1;1;1;7;4;;1;1;1;2;1;2;;;26;59;26;18;32;161;1;0;5;5;8;1;1,18;12;1
570;TCM-Survey;interview;1;2;27;4;1;9;1;1;2;1;3;2;7;1;;1;1;1;1;1;5;;;50;103;33;24;73;283;1;0;5;5;8;1;0,7;1;1
571;TCM-Survey;interview;1;1;36;6;1;5;2;1;2;1;2;1;5;1;;1;1;5;5;1;2;;;76;47;62;22;29;236;1;0;5;5;8;1;0,83;2;1
572;TCM-Survey;interview;1;1;20;4;6;1;2;1;2;1;1;1;3;1;;2;2;1;2;2;1;;;244;23;14;20;20;321;1;0;5;5;8;1;1,32;24;1
573;TCM-Survey;interview;1;2;26;7;1;8;2;1;2;1;2;7;3;1;;2;2;1;1;2;1;;;31;28;15;16;38;128;1;0;5;5;12;4;1,4;21;1
574;TCM-Survey;interview;1;1;33;6;1;3;2;1;2;1;3;2;7;1;;1;1;3;3;2;1;;;45;49;32;19;36;181;1;0;5;5;8;1;0,97;2;1
575;TCM-Survey;interview;1;1;28;7;1;6;1;1;2;1;2;2;3;1;;1;2;1;4;2;1;;;35;41;27;17;40;160;1;0;5;5;8;1;1,1;7;1
576;TCM-Survey;interview;1;1;30;8;1;7;2;1;2;1;4;2;1;1;;2;2;1;2;2;1;;;52;26;29;33;52;192;1;0;5;5;8;1;0,96;7;1
577;TCM-Survey;interview;1;2;39;8;1;11;2;1;2;1;7;1;3;1;;1;2;1;3;2;1;;;41;29;23;25;25;143;1;0;5;5;12;4;1,21;13;1
580;TCM-Survey;interview;1;1;28;3;1;12;2;1;1;1;5;2;2;1;;1;2;1;1;2;1;;;48;30;16;13;32;139;1;0;5;5;12;5;1,33;17;1
581;TCM-Survey;interview;1;1;24;4;6;4;2;1;2;1;4;1;4;1;;2;1;1;1;2;1;;;46;87;12;13;61;219;1;0;5;5;12;5;1,14;16;1
582;TCM-Survey;interview;-9;1;24;7;6;1;2;1;2;1;4;5;4;1;;2;1;1;1;2;1;;;36;48;20;19;28;151;1;0;5;5;15;9;1,17;10;1
584;TCM-Survey;interview;1;2;22;6;6;1;2;1;2;1;2;1;2;1;;3;3;1;1;2;1;;;150;32;18;17;26;243;1;0;5;5;12;5;1,11;12;1
585;TCM-Survey;interview;1;2;19;2;1;3;2;1;2;1;3;1;7;1;;2;2;2;5;2;1;;;89;43;35;21;34;222;1;0;5;5;12;4;0,85;1;1
587;TCM-Survey;interview;1;2;40;4;1;12;2;1;2;1;3;1;7;1;;1;2;1;1;2;1;;;156;70;33;29;29;317;1;0;5;5;4;1;0,72;2;1
588;TCM-Survey;interview;1;2;33;4;2;3;1;1;1;2;4;3;2;2;;2;2;1;5;2;1;;;71;36;15;14;40;176;1;0;5;5;8;1;1,17;12;1
590;TCM-Survey;interview;1;2;67;2;3;12;1;1;1;5;2;1;8;6;;1;1;1;4;2;1;;;157;350;194;96;38;359;1;0;5;5;8;1;0,35;0;1
591;TCM-Survey;interview;1;1;23;7;1;6;1;1;1;2;3;3;5;1;;1;1;1;1;2;1;;;73;51;14;17;34;189;1;0;5;5;8;1;1,1;9;1
593;TCM-Survey;interview;1;2;24;4;1;3;2;1;1;1;3;3;4;1;;1;2;1;1;1;1;;;54;39;12;19;16;140;1;0;5;5;12;4;1,47;24;1
594;TCM-Survey;interview;1;2;28;4;1;5;2;1;2;1;3;1;4;1;;2;2;1;4;2;1;;;44;30;24;23;21;142;1;0;5;5;12;4;1,24;14;1
595;TCM-Survey;interview;1;2;70;3;3;7;2;1;2;1;3;3;4;1;;1;2;1;1;2;1;;;41;42;24;16;29;152;1;0;5;5;12;4;1,15;8;1
596;TCM-Survey;interview;1;2;51;5;1;11;1;1;2;1;2;1;3;1;;2;2;1;1;2;1;;;56;38;15;21;37;167;1;0;5;5;8;1;1,12;8;1
597;TCM-Survey;interview;1;1;55;5;4;4;1;2;3;6;6;6;5;1;;2;2;1;4;2;1;;;18;59;25;18;39;159;1;0;5;5;12;4;1,33;20;1
598;TCM-Survey;interview;1;1;72;7;1;9;1;1;2;1;1;1;2;1;;1;2;1;4;2;1;;;35;39;31;26;48;179;1;0;5;5;8;1;0,98;6;1
599;TCM-Survey;interview;1;2;26;7;1;12;2;1;1;2;5;2;2;1;;1;2;1;1;2;1;;;62;37;16;13;53;181;1;0;5;5;12;4;1,14;12;1
600;TCM-Survey;interview;1;2;27;4;6;4;2;1;2;1;4;2;4;1;;2;2;1;1;2;1;;;94;44;16;26;85;265;1;0;5;5;4;1;0,84;5;1
601;TCM-Survey;interview;1;2;74;8;3;12;1;1;2;1;2;5;1;1;;2;2;1;5;2;1;;;117;31;22;21;32;223;1;0;5;5;12;4;1;6;1
602;TCM-Survey;interview;1;1;22;4;6;5;1;1;1;2;4;1;7;1;;2;2;1;1;2;1;;;75;34;17;18;39;183;1;0;5;5;8;1;1,08;8;1
603;TCM-Survey;interview;1;1;84;5;3;1;2;1;2;1;2;7;7;1;;2;2;1;1;2;1;;;274;136;120;23;32;585;1;0;5;5;8;1;0,53;1;1
604;TCM-Survey;interview;1;2;17;2;6;2;2;1;2;1;3;3;5;1;;1;2;1;2;2;1;;;59;41;18;12;28;158;1;0;5;5;12;4;1,23;13;1
605;TCM-Survey;interview;1;2;29;4;1;12;2;1;2;1;3;2;1;1;;2;2;1;3;2;1;;;37;43;26;15;30;151;1;0;5;5;8;1;1,17;9;1
606;TCM-Survey;interview;1;1;23;4;1;12;2;1;2;1;2;1;5;1;;1;2;1;3;2;1;;;38;42;18;15;18;131;1;0;5;5;12;4;1,41;20;1
607;TCM-Survey;interview;1;1;25;6;1;5;2;1;1;1;4;2;7;1;;2;2;1;1;2;1;;;57;38;37;17;28;177;1;0;5;5;8;1;1,03;6;1
608;TCM-Survey;interview;1;2;26;6;1;4;2;1;2;1;5;5;2;1;;2;1;1;1;2;1;;;39;43;37;21;33;173;1;0;5;5;8;1;1,01;5;1
609;TCM-Survey;interview;1;1;67;3;3;7;2;1;1;3;2;1;7;7;;1;2;1;2;2;1;;;67;97;41;14;58;277;1;0;5;5;4;1;0,76;4;1
611;TCM-Survey;interview;1;1;62;4;3;4;2;2;2;6;6;6;8;8;;1;1;2;3;2;1;;;204;21;12;18;27;282;1;0;5;5;8;3;1,35;25;1
612;TCM-Survey;interview;1;2;28;7;1;9;1;1;2;1;7;3;7;1;;2;2;1;1;2;1;;;98;88;24;29;50;289;1;0;5;5;8;1;0,68;0;1
613;TCM-Survey;interview;1;2;24;4;1;12;2;1;1;2;3;5;1;1;;2;2;1;4;2;1;;;596;81;31;27;15;207;1;0;5;5;0;0;0,9;14;1
614;TCM-Survey;interview;1;1;30;8;1;5;1;1;2;1;1;2;8;1;;1;1;4;2;1;4;;;52;37;20;32;28;169;1;0;5;5;0;0;1,06;7;1
615;TCM-Survey;interview;1;1;50;3;1;7;2;1;2;1;3;2;3;1;;1;1;1;3;2;1;;;50;29;23;18;32;152;1;0;5;5;12;4;1,16;8;1
616;TCM-Survey;interview;1;2;27;4;1;3;2;1;2;1;3;2;7;1;;1;2;1;1;2;1;;;18;54;12;21;27;132;1;0;5;5;12;4;1,6;33;1
617;TCM-Survey;interview;1;1;22;4;6;4;2;1;2;1;3;3;5;2;;1;1;1;3;2;1;;;126;156;44;24;83;433;1;0;5;5;8;1;0,49;0;1
618;TCM-Survey;interview;1;2;42;3;1;12;1;1;2;1;3;1;4;1;;1;1;1;1;2;1;;;52;47;14;13;26;152;1;0;5;5;8;3;1,3;16;1
619;TCM-Survey;interview;1;1;22;4;1;4;2;1;-9;2;2;1;5;2;;1;1;1;2;2;1;;;81;94;27;15;38;255;1;0;5;5;8;5;0,85;3;1
620;TCM-Survey;interview;1;2;39;7;1;9;1;1;2;1;7;7;5;1;;2;2;1;3;2;1;;;52;32;21;12;30;147;1;0;5;5;12;4;1,26;13;1
621;TCM-Survey;interview;1;1;22;4;6;4;2;1;2;1;3;2;4;1;;1;2;3;3;1;1;;;78;97;53;13;41;282;1;0;5;5;8;1;0,79;5;1
622;TCM-Survey;interview;1;2;78;4;3;7;1;1;2;1;3;1;4;1;;2;2;1;3;2;1;;;308;63;33;22;33;459;1;0;5;5;8;1;0,71;1;1
623;TCM-Survey;interview;1;1;66;2;3;12;2;1;2;1;1;1;3;1;;1;2;1;1;2;1;;;33;67;15;15;31;161;1;0;5;5;12;4;1,26;16;1
624;TCM-Survey;interview;1;2;79;7;3;11;2;2;3;6;6;6;5;4;;1;2;2;4;1;1;;;22;124;48;20;59;273;1;0;5;5;4;1;0,96;14;1
625;TCM-Survey;interview;1;1;28;7;1;6;2;1;2;1;7;3;3;1;;2;2;1;2;2;1;;;49;59;33;17;48;206;1;0;5;5;8;1;0,88;2;1
626;TCM-Survey;interview;1;2;28;5;6;7;2;1;2;1;1;1;2;1;;2;2;5;5;2;1;;;113;39;18;22;38;230;1;0;5;5;8;1;0,95;5;1
627;TCM-Survey;interview;1;1;21;4;1;4;2;1;2;1;6;1;3;1;;1;2;1;2;2;1;;;88;52;23;20;40;223;1;0;5;5;8;1;0,87;0;1
628;TCM-Survey;interview;1;2;29;7;1;11;2;1;1;2;4;4;3;2;;2;2;2;5;2;1;;;69;64;28;41;28;230;1;0;5;5;4;0;0,81;3;1
630;TCM-Survey;interview;1;2;33;7;6;12;2;1;2;1;7;7;1;1;;2;2;3;5;2;1;;;272;57;111;33;38;511;1;0;5;5;8;1;0,54;0;1
632;TCM-Survey;interview;1;1;21;4;6;1;2;1;2;1;3;4;3;1;;1;2;1;3;2;1;;;44;37;22;21;22;146;1;0;5;5;8;3;1,21;11;1
633;TCM-Survey;interview;1;1;52;7;1;11;1;1;1;2;5;3;7;1;;2;2;1;1;2;1;;;52;64;17;20;39;192;1;0;5;5;8;1;1;4;1
